play_id,game_id,posteam,home_team,away_team,week,game_date,field_goal_result,extra_point_result,two_point_conv_result,td_team,total_home_score,total_away_score,safety,touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,away_score,home_score
983,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,0,10,0.0,0.0,0.0,0.0,0.0,38,13
1011,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,0,10,0.0,0.0,0.0,0.0,0.0,38,13
1032,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,0,10,0.0,0.0,0.0,0.0,0.0,38,13
1053,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,0,10,0.0,0.0,0.0,0.0,0.0,38,13
1072,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,0,10,0.0,0.0,0.0,0.0,0.0,38,13
1090,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,0,10,0.0,0.0,0.0,0.0,0.0,38,13
1109,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,0,10,,,,,,38,13
1128,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,0,10,0.0,0.0,0.0,0.0,0.0,38,13
1152,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,0,10,0.0,0.0,0.0,0.0,0.0,38,13
1185,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,0,10,0.0,0.0,0.0,0.0,0.0,38,13
1206,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,0,10,0.0,0.0,0.0,0.0,0.0,38,13
1230,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,0,10,0.0,0.0,0.0,0.0,0.0,38,13
1254,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,0,10,0.0,0.0,0.0,0.0,0.0,38,13
1286,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,0,10,0.0,0.0,0.0,0.0,0.0,38,13
1323,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,0,10,0.0,0.0,0.0,0.0,0.0,38,13
