game_id,posteam,play_type,yards_gained,fumble_lost,interception,away_score,home_score,away_team,home_team,week,turnover
2021_01_SEA_IND,IND,pass,223.0,0.0,0.0,28,16,SEA,IND,1,0.0
2021_01_SEA_IND,IND,run,113.0,1.0,0.0,28,16,SEA,IND,1,1.0
2021_01_SEA_IND,SEA,pass,241.0,0.0,0.0,28,16,SEA,IND,1,0.0
2021_01_SEA_IND,SEA,run,140.0,1.0,0.0,28,16,SEA,IND,1,1.0
2021_01_SF_DET,DET,pass,318.0,0.0,1.0,41,33,SF,DET,1,1.0
2021_01_SF_DET,DET,run,116.0,0.0,0.0,41,33,SF,DET,1,0.0
2021_01_SF_DET,SF,pass,311.0,1.0,0.0,41,33,SF,DET,1,1.0
2021_01_SF_DET,SF,run,132.0,1.0,0.0,41,33,SF,DET,1,1.0
2021_02_ATL_TB,ATL,pass,293.0,0.0,3.0,25,48,ATL,TB,2,3.0
2021_02_ATL_TB,ATL,run,57.0,0.0,0.0,25,48,ATL,TB,2,0.0
2021_02_ATL_TB,TB,pass,259.0,1.0,0.0,25,48,ATL,TB,2,1.0
2021_02_ATL_TB,TB,run,85.0,0.0,0.0,25,48,ATL,TB,2,0.0
2021_02_BUF_MIA,BUF,pass,171.0,1.0,1.0,35,0,BUF,MIA,2,2.0
2021_02_BUF_MIA,BUF,run,145.0,0.0,0.0,35,0,BUF,MIA,2,0.0
2021_02_BUF_MIA,MIA,pass,145.0,1.0,1.0,35,0,BUF,MIA,2,2.0
2021_02_BUF_MIA,MIA,run,72.0,0.0,0.0,35,0,BUF,MIA,2,0.0
2021_02_CIN_CHI,CHI,pass,83.0,0.0,1.0,17,20,CIN,CHI,2,1.0
2021_02_CIN_CHI,CHI,run,127.0,0.0,0.0,17,20,CIN,CHI,2,0.0
2021_02_CIN_CHI,CIN,pass,179.0,1.0,3.0,17,20,CIN,CHI,2,4.0
2021_02_CIN_CHI,CIN,run,69.0,0.0,0.0,17,20,CIN,CHI,2,0.0
2021_02_DAL_LAC,DAL,pass,221.0,0.0,1.0,20,17,DAL,LAC,2,1.0
2021_02_DAL_LAC,DAL,run,198.0,0.0,0.0,20,17,DAL,LAC,2,0.0
2021_02_DAL_LAC,LAC,pass,313.0,0.0,2.0,20,17,DAL,LAC,2,2.0
2021_02_DAL_LAC,LAC,run,97.0,0.0,0.0,20,17,DAL,LAC,2,0.0
2021_02_DEN_JAX,DEN,pass,302.0,0.0,0.0,23,13,DEN,JAX,2,0.0
2021_02_DEN_JAX,DEN,run,98.0,0.0,0.0,23,13,DEN,JAX,2,0.0
2021_02_DEN_JAX,JAX,pass,114.0,0.0,2.0,23,13,DEN,JAX,2,2.0
2021_02_DEN_JAX,JAX,run,75.0,0.0,0.0,23,13,DEN,JAX,2,0.0
2021_02_DET_GB,DET,pass,236.0,0.0,1.0,17,35,DET,GB,2,1.0
2021_02_DET_GB,DET,run,108.0,1.0,0.0,17,35,DET,GB,2,1.0
2021_02_DET_GB,GB,pass,227.0,0.0,0.0,17,35,DET,GB,2,0.0
2021_02_DET_GB,GB,run,100.0,0.0,0.0,17,35,DET,GB,2,0.0
2021_02_HOU_CLE,CLE,pass,199.0,1.0,1.0,21,31,HOU,CLE,2,2.0
2021_02_HOU_CLE,CLE,run,159.0,0.0,0.0,21,31,HOU,CLE,2,0.0
2021_02_HOU_CLE,HOU,pass,220.0,0.0,1.0,21,31,HOU,CLE,2,1.0
2021_02_HOU_CLE,HOU,run,82.0,0.0,0.0,21,31,HOU,CLE,2,0.0
2021_02_KC_BAL,BAL,pass,230.0,0.0,2.0,35,36,KC,BAL,2,2.0
2021_02_KC_BAL,BAL,run,252.0,0.0,0.0,35,36,KC,BAL,2,0.0
2021_02_KC_BAL,KC,pass,343.0,0.0,1.0,35,36,KC,BAL,2,1.0
2021_02_KC_BAL,KC,run,62.0,1.0,0.0,35,36,KC,BAL,2,1.0
2021_02_LA_IND,IND,pass,247.0,0.0,2.0,27,24,LA,IND,2,2.0
2021_02_LA_IND,IND,run,109.0,0.0,0.0,27,24,LA,IND,2,0.0
2021_02_LA_IND,LA,pass,270.0,0.0,1.0,27,24,LA,IND,2,1.0
2021_02_LA_IND,LA,run,101.0,1.0,0.0,27,24,LA,IND,2,1.0
2021_02_LV_PIT,LV,pass,373.0,0.0,0.0,26,17,LV,PIT,2,0.0
2021_02_LV_PIT,LV,run,52.0,0.0,0.0,26,17,LV,PIT,2,0.0
2021_02_LV_PIT,PIT,pass,292.0,0.0,1.0,26,17,LV,PIT,2,1.0
2021_02_LV_PIT,PIT,run,39.0,0.0,0.0,26,17,LV,PIT,2,0.0
2021_02_MIN_ARI,ARI,pass,371.0,0.0,2.0,33,34,MIN,ARI,2,2.0
2021_02_MIN_ARI,ARI,run,103.0,0.0,0.0,33,34,MIN,ARI,2,0.0
2021_02_MIN_ARI,MIN,pass,242.0,0.0,0.0,33,34,MIN,ARI,2,0.0
2021_02_MIN_ARI,MIN,run,177.0,0.0,0.0,33,34,MIN,ARI,2,0.0
2021_02_NE_NYJ,NE,pass,159.0,0.0,0.0,25,6,NE,NYJ,2,0.0
2021_02_NE_NYJ,NE,run,101.0,0.0,0.0,25,6,NE,NYJ,2,0.0
2021_02_NE_NYJ,NYJ,pass,184.0,0.0,4.0,25,6,NE,NYJ,2,4.0
2021_02_NE_NYJ,NYJ,run,153.0,0.0,0.0,25,6,NE,NYJ,2,0.0
2021_02_NO_CAR,CAR,pass,294.0,0.0,1.0,7,26,NO,CAR,2,1.0
2021_02_NO_CAR,CAR,run,89.0,0.0,0.0,7,26,NO,CAR,2,0.0
2021_02_NO_CAR,NO,pass,80.0,0.0,2.0,7,26,NO,CAR,2,2.0
2021_02_NO_CAR,NO,run,49.0,0.0,0.0,7,26,NO,CAR,2,0.0
2021_02_NYG_WAS,NYG,pass,228.0,0.0,0.0,29,30,NYG,WAS,2,0.0
